bidNtceNo,bidNtceOrd,bidClsfcNo,rbidNo,bidNtceNm,plnprc,bssamt,totRsrvtnPrceNum,compnoRsrvtnPrceSno,bsisPlnprc,drwtYn,drwtNum,bidwinrSlctnAplBssCntnts,rlOpengDt,bssamtBssUpNum,compnoRsrvtnPrceMkngDt,inptDt,PrearngPrcePurcnstcst
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,9,50701900,N,1,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,10,51177000,Y,7,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,11,48491400,N,3,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,12,51350100,N,2,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,13,49090700,N,3,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,14,49980400,N,4,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,15,48892100,Y,6,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,1,729546900,N,19,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,2,750488100,Y,28,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,3,752118000,N,22,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,4,772353200,N,26,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,5,742308400,N,21,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,6,758374900,N,25,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,7,763955700,N,23,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,8,734857300,N,28,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,9,766479400,N,21,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
